0.0001
Training starts..
/home/menglei/anaconda3/lib/python3.6/site-packages/torch/nn/functional.py:1890: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
Train Epoch: 1 [18880/68175 (28%)] | Loss: 3.280579 | Top1_Accuracy_V:0.5625 | Top5_Accuracy_V:0.8125 | Time:6.9854 | Total_Time:3140.1209
Train Epoch: 1 [19040/68175 (28%)] | Loss: 3.739229 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.6875 | Time:6.9408 | Total_Time:3172.503
Train Epoch: 1 [19200/68175 (28%)] | Loss: 3.482734 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.875 | Time:6.8312 | Total_Time:3206.3443
Train Epoch: 1 [19360/68175 (28%)] | Loss: 3.538311 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.75 | Time:6.9936 | Total_Time:3239.2376
Train Epoch: 1 [19520/68175 (29%)] | Loss: 3.511460 | Top1_Accuracy_V:0.5625 | Top5_Accuracy_V:0.875 | Time:6.9349 | Total_Time:3275.1201
Train Epoch: 1 [19680/68175 (29%)] | Loss: 3.835395 | Top1_Accuracy_V:0.3125 | Top5_Accuracy_V:0.8125 | Time:6.8844 | Total_Time:3307.9041
Train Epoch: 1 [19840/68175 (29%)] | Loss: 4.151248 | Top1_Accuracy_V:0.4375 | Top5_Accuracy_V:0.5625 | Time:6.903 | Total_Time:3340.0556
Train Epoch: 1 [20000/68175 (29%)] | Loss: 3.442045 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.8125 | Time:6.8623 | Total_Time:3375.4725
Train Epoch: 1 [20160/68175 (30%)] | Loss: 3.760328 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.6875 | Time:6.9385 | Total_Time:3411.4644
Train Epoch: 1 [20320/68175 (30%)] | Loss: 3.363574 | Top1_Accuracy_V:0.5625 | Top5_Accuracy_V:0.75 | Time:6.8869 | Total_Time:3446.5473
Train Epoch: 1 [20480/68175 (30%)] | Loss: 3.423928 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.8125 | Time:6.8892 | Total_Time:3480.594
Train Epoch: 1 [20640/68175 (30%)] | Loss: 3.476978 | Top1_Accuracy_V:0.5625 | Top5_Accuracy_V:0.75 | Time:6.8477 | Total_Time:3520.5083
Train Epoch: 1 [20800/68175 (31%)] | Loss: 3.677687 | Top1_Accuracy_V:0.5 | Top5_Accuracy_V:0.6875 | Time:6.9347 | Total_Time:3555.5588
Train Epoch: 1 [20960/68175 (31%)] | Loss: 3.862259 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.6875 | Time:6.9174 | Total_Time:3589.2822
Train Epoch: 1 [21120/68175 (31%)] | Loss: 3.521831 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.625 | Time:6.9174 | Total_Time:3624.0593
Train Epoch: 1 [21280/68175 (31%)] | Loss: 4.566553 | Top1_Accuracy_V:0.25 | Top5_Accuracy_V:0.5 | Time:6.8118 | Total_Time:3656.1434
Train Epoch: 1 [21440/68175 (31%)] | Loss: 3.703221 | Top1_Accuracy_V:0.375 | Top5_Accuracy_V:0.75 | Time:6.92 | Total_Time:3689.3311
